Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.0.0.10,10.0.0.46,24,4440,12,2220,12,2220,5.010886062,5.2911429,3356.552702,3356.552702
10.0.0.10,10.0.0.26,24,4440,12,2220,12,2220,5.160142963,7.025451474,2527.951416,2527.951416
10.0.0.10,10.0.0.34,24,4440,12,2220,12,2220,5.544353832,6.016513109,2951.875892,2951.875892
10.0.0.10,10.0.0.44,24,4440,12,2220,12,2220,5.555738302,4.22232504,4206.213362,4206.213362
10.0.0.10,10.0.0.25,16,2960,8,1480,8,1480,5.686756703,5.685711595,2082.413046,2082.413046
10.0.0.10,10.0.0.40,24,4440,12,2220,12,2220,5.686777468,4.686983596,3789.217444,3789.217444
10.0.0.10,10.0.0.22,16,2960,8,1480,8,1480,5.816731934,0.566033665,20917.48377,20917.48377
10.0.0.10,10.0.0.41,24,4440,12,2220,12,2220,5.992168024,1.245030279,14264.71332,14264.71332
10.0.0.10,10.0.0.17,8,1480,4,740,4,740,6.140938013,4.269770688,1386.491321,1386.491321
10.0.0.10,10.0.0.36,24,4440,12,2220,12,2220,6.14094467,6.205701923,2861.884154,2861.884154
10.0.0.10,10.0.0.19,16,2960,8,1480,8,1480,6.674717152,0.520896214,22730.05578,22730.05578
10.0.0.10,10.0.0.24,16,2960,8,1480,8,1480,6.830377031,3.872840717,3057.187441,3057.187441
10.0.0.10,10.0.0.30,24,4440,12,2220,12,2220,7.224863163,1.10374197,16090.71729,16090.71729
10.0.0.10,10.0.0.16,8,1480,4,740,4,740,7.351374381,0.878734583,6736.9603,6736.9603
10.0.0.10,10.0.0.45,24,4440,12,2220,12,2220,7.440314391,4.197096098,4231.497108,4231.497108
10.0.0.10,10.0.0.31,24,4440,12,2220,12,2220,7.732173285,0.774866603,22920.07415,22920.07415
10.0.0.10,10.0.0.21,16,2960,8,1480,8,1480,8.028795087,1.339964443,8836.055361,8836.055361
