Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.10,10.0.0.18,16,2960,8,1480,8,1480,8.344455363,27.68872685,427.6108491,427.6108491,
10.0.0.10,10.0.0.42,24,4440,12,2220,12,2220,8.852398354,22.19265906,800.2646259,800.2646259,
10.0.0.10,10.0.0.20,16,2960,8,1480,8,1480,9.44741222,19.53444949,606.108711,606.108711,
10.0.0.10,10.0.0.45,24,4440,12,2220,12,2220,10.11865098,17.63972534,1006.818397,1006.818397,
10.0.0.10,10.0.0.23,16,2960,8,1480,8,1480,10.78895639,19.96815157,592.9442171,592.9442171,
10.0.0.10,10.0.0.37,24,4440,12,2220,12,2220,11.26524097,14.59017741,1217.257302,1217.257302,
10.0.0.10,10.0.0.38,24,4440,12,2220,12,2220,12.19592775,3.574980135,4967.859772,4967.859772,
10.0.0.10,10.0.0.11,8,1480,4,740,4,740,12.34281492,25.72249893,230.148712,230.148712,
10.0.0.10,10.0.0.35,24,4440,12,2220,12,2220,15.67368363,21.46798534,827.278374,827.278374,
10.0.0.10,10.0.0.32,24,4440,12,2220,12,2220,17.1486137,6.383792097,2782.045488,2782.045488,
10.0.0.10,10.0.0.16,8,1480,4,740,4,740,21.78495736,0.303062332,19533.93535,19533.93535,
10.0.0.10,10.0.0.47,24,4440,12,2220,12,2220,21.79232396,4.557585318,3896.800336,3896.800336,
10.0.0.10,10.0.0.27,24,4440,12,2220,12,2220,22.25432923,5.319357048,3338.749371,3338.749371,
10.0.0.10,10.0.0.41,24,4440,12,2220,12,2220,25.23905882,8.19100722,2168.231516,2168.231516,
10.0.0.10,10.0.0.25,16,2960,8,1480,8,1480,25.50606416,8.507632976,1391.691441,1391.691441,
10.0.0.10,10.0.0.13,8,1480,4,740,4,740,27.28977497,7.203679103,821.8022923,821.8022923,
10.0.0.10,10.0.0.40,24,4440,12,2220,12,2220,27.6924504,10.69763049,1660.180731,1660.180731,
10.0.0.10,10.0.0.15,8,1480,4,740,4,740,29.75300387,8.856707003,668.4199893,668.4199893,
10.0.0.10,10.0.0.44,24,4440,12,2220,12,2220,33.19898912,0.464857233,38205.27839,38205.27839,
10.0.0.10,10.0.0.46,24,4440,12,2220,12,2220,33.67097383,3.978008787,4464.545191,4464.545191,
10.0.0.10,10.0.0.28,24,4440,12,2220,12,2220,35.45879473,0.652551855,27216.2279,27216.2279,
10.0.0.11,10.0.0.15,8,1480,4,740,4,740,5.356459824,28.75150458,205.902268,205.902268,
10.0.0.11,10.0.0.40,24,4440,12,2220,12,2220,6.936874444,31.12845312,570.5391119,570.5391119,
10.0.0.11,10.0.0.48,24,4440,12,2220,12,2220,8.393026111,13.08672133,1357.100802,1357.100802,
10.0.0.11,10.0.0.30,24,4440,12,2220,12,2220,9.344923772,0.959517392,18509.30494,18509.30494,
10.0.0.11,10.0.0.32,24,4440,12,2220,12,2220,12.20029889,6.02096756,2949.692026,2949.692026,
10.0.0.11,10.0.0.46,24,4440,12,2220,12,2220,12.77097297,10.12643323,1753.825814,1753.825814,
10.0.0.11,10.0.0.47,24,4440,12,2220,12,2220,13.88046206,3.917567101,4533.425859,4533.425859,
10.0.0.11,10.0.0.14,8,1480,4,740,4,740,15.675506,1.416966407,4177.939555,4177.939555,
10.0.0.11,10.0.0.33,24,4440,12,2220,12,2220,16.56783359,18.1151037,980.3973686,980.3973686,
10.0.0.11,10.0.0.28,24,4440,12,2220,12,2220,20.19218548,18.45721815,962.2251769,962.2251769,
10.0.0.11,10.0.0.13,8,1480,4,740,4,740,21.10009619,13.27873003,445.825767,445.825767,
10.0.0.11,10.0.0.29,24,4440,12,2220,12,2220,24.6122783,1.913072731,9283.494408,9283.494408,
