No.,Time,Source,Destination,Protocol,Length,Info
192,4.221671394,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
194,4.221717645,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
196,4.221735865,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
201,4.2252822,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
206,4.227534003,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
208,4.228841414,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
210,4.229023766,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_FEATURES_REQUEST
211,4.22903154,127.0.0.1,127.0.0.1,OpenFlow,78,Type: OFPT_SET_CONFIG
212,4.229055856,127.0.0.1,127.0.0.1,OpenFlow,146,Type: OFPT_FLOW_MOD
213,4.229129687,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
215,4.229235088,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_FEATURES_REQUEST
216,4.229240522,127.0.0.1,127.0.0.1,OpenFlow,78,Type: OFPT_SET_CONFIG
217,4.229245956,127.0.0.1,127.0.0.1,OpenFlow,146,Type: OFPT_FLOW_MOD
218,4.229334015,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
220,4.229442049,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_FEATURES_REQUEST
221,4.229447162,127.0.0.1,127.0.0.1,OpenFlow,78,Type: OFPT_SET_CONFIG
222,4.229451495,127.0.0.1,127.0.0.1,OpenFlow,146,Type: OFPT_FLOW_MOD
223,4.229542547,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
225,4.22964111,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_FEATURES_REQUEST
226,4.229646418,127.0.0.1,127.0.0.1,OpenFlow,78,Type: OFPT_SET_CONFIG
227,4.229650758,127.0.0.1,127.0.0.1,OpenFlow,146,Type: OFPT_FLOW_MOD
228,4.229701256,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_HELLO
230,4.229783098,127.0.0.1,127.0.0.1,OpenFlow,74,Type: OFPT_FEATURES_REQUEST
231,4.229787773,127.0.0.1,127.0.0.1,OpenFlow,78,Type: OFPT_SET_CONFIG
232,4.2297917,127.0.0.1,127.0.0.1,OpenFlow,146,Type: OFPT_FLOW_MOD
233,4.237991592,127.0.0.1,127.0.0.1,OpenFlow,154,Type: OFPT_PORT_STATUS
242,4.238346642,127.0.0.1,127.0.0.1,OpenFlow,98,Type: OFPT_FEATURES_REPLY
244,4.239657732,127.0.0.1,127.0.0.1,OpenFlow,154,Type: OFPT_PORT_STATUS
245,4.23987933,127.0.0.1,127.0.0.1,OpenFlow,98,Type: OFPT_FEATURES_REPLY
246,4.240102137,127.0.0.1,127.0.0.1,OpenFlow,154,Type: OFPT_PORT_STATUS
248,4.240634464,127.0.0.1,127.0.0.1,OpenFlow,98,Type: OFPT_FEATURES_REPLY
250,4.240918436,127.0.0.1,127.0.0.1,OpenFlow,154,Type: OFPT_PORT_STATUS
251,4.241036697,127.0.0.1,127.0.0.1,OpenFlow,98,Type: OFPT_FEATURES_REPLY
253,4.241244222,127.0.0.1,127.0.0.1,OpenFlow,154,Type: OFPT_PORT_STATUS
254,4.241480674,127.0.0.1,127.0.0.1,OpenFlow,98,Type: OFPT_FEATURES_REPLY
256,4.26006793,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
257,4.261695956,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
258,4.263659317,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
259,4.263672882,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
260,4.264140122,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
261,4.267510053,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
262,4.267519938,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
263,4.267528454,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
265,4.274123666,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
266,4.274148625,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
267,4.274158472,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
268,4.274168224,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
269,4.274172925,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
270,4.2741767,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
271,4.276056742,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
272,4.279265149,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
273,4.279277772,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
274,4.279286375,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
275,4.279293823,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
276,4.279298586,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
278,4.284467574,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
279,4.28447551,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
280,4.284479187,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
281,4.284489748,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
282,4.284494699,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
283,4.284497954,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
284,4.284507204,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
285,4.284511339,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
286,4.28452082,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
287,4.285231636,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
288,4.287906471,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
289,4.287913846,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
290,4.287920869,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
291,4.287928294,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
292,4.287932636,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
293,4.287938304,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
294,4.287943973,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
295,4.287949359,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
299,4.303591647,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
300,4.303660235,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
301,4.303853329,127.0.0.1,127.0.0.1,OpenFlow,206,Type: OFPT_PACKET_IN[Malformed Packet]
302,4.303885417,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
303,4.303907509,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
304,4.303919816,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
305,4.303931159,127.0.0.1,127.0.0.1,OpenFlow,206,Type: OFPT_PACKET_IN[Malformed Packet]
306,4.30394313,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
307,4.304196282,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
308,4.304226756,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
