Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.10,10.0.0.11,8,1480,4,740,4,740,6.994381313,0.316732958,18690.82409,18690.82409,Low
10.0.0.10,10.0.0.13,8,1480,4,740,4,740,7.075665695,0.800523743,7395.158547,7395.158547,Low
10.0.0.10,10.0.0.12,8,1480,4,740,4,740,7.075675529,0.598451945,9892.189422,9892.189422,Low
10.0.0.10,10.0.0.14,8,1480,4,740,4,740,7.075678652,1.208446642,4898.850966,4898.850966,Low
10.0.0.10,10.0.0.15,8,1480,4,740,4,740,7.169651395,1.416730971,4178.633856,4178.633856,Low
10.0.0.10,10.0.0.16,8,1480,4,740,4,740,7.169657606,1.757703583,3368.030911,3368.030911,Low
10.0.0.10,10.0.0.17,8,1480,4,740,4,740,7.169661833,1.933347364,3062.046744,3062.046744,Low
10.0.0.10,10.0.0.18,16,2960,8,1480,8,1480,7.169667439,2.524152231,4690.683808,4690.683808,Low
10.0.0.10,10.0.0.19,16,2960,8,1480,8,1480,7.169672753,2.649330854,4469.053,4469.053,Low
10.0.0.10,10.0.0.20,16,2960,8,1480,8,1480,7.21395134,2.966883018,3990.720203,3990.720203,Low
10.0.0.10,10.0.0.21,16,2960,8,1480,8,1480,7.213955915,3.291445602,3597.20361,3597.20361,Low
10.0.0.10,10.0.0.22,16,2960,8,1480,8,1480,7.256853927,3.610199116,3279.597501,3279.597501,Low
10.0.0.10,10.0.0.24,16,2960,8,1480,8,1480,7.259989693,4.339406996,2728.483411,2728.483411,Low
10.0.0.10,10.0.0.23,16,2960,8,1480,8,1480,7.260084966,3.963722156,2987.091308,2987.091308,Low
10.0.0.10,10.0.0.25,16,2960,8,1480,8,1480,7.260091096,4.644806145,2549.083779,2549.083779,Low
10.0.0.10,10.0.0.26,24,4440,12,2220,12,2220,7.308108699,5.1969472,3417.390887,3417.390887,Low
10.0.0.10,10.0.0.28,24,5192,12,2220,12,2972,7.308112755,6.092334565,2915.138657,3902.609049,Low
